Energy_MeV,F8 脉冲高度响应,Relative_Error
7.18,1.92857e-07,0.0861
7.19,1.9e-07,0.0867
7.2,1.51429e-07,0.0971
7.21,1.35714e-07,0.1026
7.22,1.3e-07,0.1048
7.23,1.31429e-07,0.1043
7.24,9.57143e-08,0.1222
7.25,1.14286e-07,0.1118
7.26,1.18571e-07,0.1098
7.27,1.21429e-07,0.1085
7.28,1.27143e-07,0.106
7.29,8.85714e-08,0.127
7.3,1.2e-07,0.1091
7.31,1.21429e-07,0.1085
7.32,1.18571e-07,0.1098
7.33,1.37143e-07,0.1021
7.34,1.27143e-07,0.106
7.35,1.27143e-07,0.106
7.36,1.4e-07,0.101
7.37,1.22857e-07,0.1078
7.38,1.38571e-07,0.1015
7.39,1.52857e-07,0.0967
7.4,1.25714e-07,0.1066
7.41,1.2e-07,0.1091
7.42,1.14286e-07,0.1118
7.43,1.17143e-07,0.1104
7.44,1.11429e-07,0.1132
7.45,9.28571e-08,0.124
7.46,9e-08,0.126
7.47,1e-07,0.1195
7.48,1.14286e-07,0.1118
7.49,1.01429e-07,0.1187
7.5,1.08571e-07,0.1147
7.51,1.08571e-07,0.1147
7.52,9.71429e-08,0.1213
7.53,1.08571e-07,0.1147
7.54,9e-08,0.126
7.55,9.57143e-08,0.1222
7.56,1.18571e-07,0.1098
7.57,1.07143e-07,0.1155
7.58,1.14286e-07,0.1118
7.59,8.57143e-08,0.1291
7.6,1.21429e-07,0.1085
7.61,1.15714e-07,0.1111
7.62,9.57143e-08,0.1222
7.63,9.85714e-08,0.1204
7.64,7.14286e-08,0.1414
7.65,7.28571e-08,0.14
7.66,9.28571e-08,0.124
7.67,8.28571e-08,0.1313
7.68,8.42857e-08,0.1302
7.69,9.14286e-08,0.125
7.7,9.28571e-08,0.124
7.71,8.57143e-08,0.1291
7.72,9.85714e-08,0.1204
7.73,8.28571e-08,0.1313
7.74,9e-08,0.126
7.75,9e-08,0.126
7.76,8.42857e-08,0.1302
7.77,8.28571e-08,0.1313
7.78,6.42857e-08,0.1491
7.79,8.28571e-08,0.1313
7.8,8.85714e-08,0.127
7.81,7.42857e-08,0.1387
7.82,7.57143e-08,0.1374
7.83,7.85714e-08,0.1348
7.84,8.71429e-08,0.128
7.85,8.85714e-08,0.127
7.86,9.14286e-08,0.125
7.87,8.57143e-08,0.1291
7.88,8.28571e-08,0.1313
7.89,7e-08,0.1429
7.9,9.14286e-08,0.125
7.91,8.71429e-08,0.128
7.92,9.85714e-08,0.1204
7.93,5.57143e-08,0.1601
7.94,6.57143e-08,0.1474
7.95,6.28571e-08,0.1508
7.96,8.42857e-08,0.1302
7.97,5.14286e-08,0.1667
7.98,5.71429e-08,0.1581
7.99,5.42857e-08,0.1622
8,7.71429e-08,0.1361
8.01,6e-08,0.1543
8.02,6e-08,0.1543
8.03,7.85714e-08,0.1348
8.04,6.85714e-08,0.1443
8.05,7.14286e-08,0.1414
8.06,6.71429e-08,0.1459
8.07,5.14286e-08,0.1667
8.08,6.85714e-08,0.1443
8.09,6.71429e-08,0.1459
8.1,7.71429e-08,0.1361
8.11,9e-08,0.126
8.12,7.85714e-08,0.1348
8.13,6.57143e-08,0.1474
8.14,7.85714e-08,0.1348
8.15,6.57143e-08,0.1474
8.16,6e-08,0.1543
8.17,6.14286e-08,0.1525
8.18,4.71429e-08,0.1741
8.19,5e-08,0.169
8.2,6.85714e-08,0.1443
8.21,5.57143e-08,0.1601
8.22,5.42857e-08,0.1622
8.23,4.85714e-08,0.1715
8.24,5.28571e-08,0.1644
8.25,3.42857e-08,0.2041
8.26,5.57143e-08,0.1601
8.27,5.42857e-08,0.1622
8.28,4.85714e-08,0.1715
8.29,5.42857e-08,0.1622
