Energy_MeV,F8_Response_per_source_neutron,Relative_Error
7.06,2e-07,0.2236
7.07,2.6e-07,0.1961
7.08,2.1e-07,0.2182
7.09,2.3e-07,0.2085
7.1,4.2e-07,0.1543
7.11,2.6e-07,0.1961
7.12,3.8e-07,0.1622
7.13,2.8e-07,0.189
7.14,3.8e-07,0.1622
7.15,3.6e-07,0.1667
7.16,3.6e-07,0.1667
7.17,2.5e-07,0.2
7.18,2.1e-07,0.2182
7.19,2.4e-07,0.2041
7.2,1.6e-07,0.25
7.21,1.2e-07,0.2887
7.22,1.1e-07,0.3015
7.23,9e-08,0.3333
7.24,8e-08,0.3536
7.25,7e-08,0.378
7.26,1.4e-07,0.2673
7.27,1.1e-07,0.3015
7.28,1.6e-07,0.25
7.29,6e-08,0.4082
7.3,1.6e-07,0.25
7.31,1.4e-07,0.2673
7.32,1.5e-07,0.2582
7.33,1.4e-07,0.2673
7.34,1e-07,0.3162
7.35,1.4e-07,0.2673
7.36,1.6e-07,0.25
7.37,1.2e-07,0.2887
7.38,1.7e-07,0.2425
7.39,1.8e-07,0.2357
7.4,4e-08,0.5
7.41,1.2e-07,0.2887
7.42,1.1e-07,0.3015
7.43,1e-07,0.3162
7.44,6e-08,0.4082
7.45,6e-08,0.4082
7.46,1.3e-07,0.2774
7.47,5e-08,0.4472
7.48,2e-07,0.2236
7.49,7e-08,0.378
7.5,1.2e-07,0.2887
7.51,1.4e-07,0.2673
7.52,8e-08,0.3536
7.53,1.1e-07,0.3015
7.54,1.2e-07,0.2887
7.55,1.3e-07,0.2774
7.56,1e-07,0.3162
7.57,7e-08,0.378
7.58,1.2e-07,0.2887
7.59,6e-08,0.4082
7.6,1.7e-07,0.2425
7.61,8e-08,0.3536
7.62,4e-08,0.5
7.63,7e-08,0.378
7.64,7e-08,0.378
7.65,8e-08,0.3536
7.66,1.3e-07,0.2774
7.67,1.3e-07,0.2774
7.68,7e-08,0.378
7.69,1e-07,0.3162
7.7,7e-08,0.378
7.71,6e-08,0.4082
7.72,1.1e-07,0.3015
7.73,4e-08,0.5
7.74,1.2e-07,0.2887
7.75,7e-08,0.378
7.76,5e-08,0.4472
7.77,8e-08,0.3536
7.78,4e-08,0.5
7.79,1e-07,0.3162
7.8,9e-08,0.3333
7.81,1e-07,0.3162
7.82,5e-08,0.4472
7.83,7e-08,0.378
7.84,7e-08,0.378
7.85,9e-08,0.3333
7.86,1e-07,0.3162
7.87,7e-08,0.378
7.88,9e-08,0.3333
7.89,7e-08,0.378
7.9,7e-08,0.378
7.91,1e-07,0.3162
7.92,1e-07,0.3162
7.93,9e-08,0.3333
7.94,5e-08,0.4472
7.95,1e-07,0.3162
7.96,1e-07,0.3162
7.97,6e-08,0.4082
7.98,8e-08,0.3536
7.99,3e-08,0.5774
8,6e-08,0.4082
8.01,7e-08,0.378
8.02,6e-08,0.4082
8.03,1.1e-07,0.3015
8.04,2e-08,0.7071
8.05,5e-08,0.4472
8.06,6e-08,0.4082
8.07,6e-08,0.4082
8.08,7e-08,0.378
8.09,9e-08,0.3333
8.1,9e-08,0.3333
8.11,8e-08,0.3536
8.12,4e-08,0.5
8.13,8e-08,0.3536
8.14,6e-08,0.4082
8.15,1e-07,0.3162
8.16,6e-08,0.4082
8.17,3e-08,0.5774
8.18,7e-08,0.378
8.19,6e-08,0.4082
8.2,5e-08,0.4472
8.21,1.1e-07,0.3015
8.22,5e-08,0.4472
8.23,1e-08,1
8.24,2e-08,0.7071
8.25,1e-08,1
8.26,7e-08,0.378
8.27,1e-07,0.3162
8.28,4e-08,0.5
8.29,5e-08,0.4472
8.3,1e-08,1
8.31,3e-08,0.5774
